"condition","awareness","qulty_rate_var","qulty_feel_var","qulty_smlr_var","indiv_body","happ.diff"
"pen-in-mouth",1,7,4,NA,3.94444444444444,0
"pen-in-mouth",1.5,7,5,7,4.83333333333333,0
"voluntary facial action",1,7,1,7,3,0
"voluntary facial action",1,7,5,NA,3.72222222222222,2.75
"voluntary facial action",2,6,4,4,4.66666666666667,2
"voluntary facial action",2,7,3,NA,5.38888888888889,0.25
"pen-in-mouth",1.5,5,5,NA,4,1.25
"voluntary facial action",1,6,5,7,5.77777777777778,-3
"voluntary facial action",1,6,3,7,5.94444444444444,1.25
"pen-in-mouth",1,2,2,2,5.16666666666667,-0.25
"voluntary facial action",3,7,2,1,2.94444444444444,2.5
"voluntary facial action",1,7,1,NA,4.16666666666667,0
"pen-in-mouth",1,7,1,7,2.22222222222222,0
"facial mimicry",3,7,1,5,5.22222222222222,0
"pen-in-mouth",5.5,7,1,5,5.72222222222222,0
"voluntary facial action",1,7,6,7,4.88888888888889,0.5
"pen-in-mouth",2,7,5,6,4.33333333333333,-0.25
"pen-in-mouth",3.5,5,3,4,4.61111111111111,1
"facial mimicry",1.5,6,6,NA,4.77777777777778,-2.5
"pen-in-mouth",1,7,1,4,4.77777777777778,0
"voluntary facial action",1,5,5,6,3.22222222222222,-0.25
"pen-in-mouth",1.5,6,1,5,5.27777777777778,0
"pen-in-mouth",1,7,3,4,3.94444444444444,-1
"pen-in-mouth",4,7,1,NA,4,0.5
"voluntary facial action",1,7,7,7,4,0
"voluntary facial action",1,7,1,4,5.11111111111111,0
"facial mimicry",1,6,2,4,4.44444444444444,0.25
"voluntary facial action",1,7,4,6,3.88888888888889,0.5
"voluntary facial action",1,7,7,5,5.16666666666667,0
"pen-in-mouth",1,7,5,4,4.22222222222222,0
"pen-in-mouth",1,7,1,2,5.5,0
"pen-in-mouth",3.5,7,7,NA,4.61111111111111,1
"pen-in-mouth",1,7,1,7,5.61111111111111,-0.75
"voluntary facial action",2,7,3,4,6.61111111111111,0
"facial mimicry",1,7,3,5,5.38888888888889,0.5
"facial mimicry",1,5,4,NA,4.5,-1
"voluntary facial action",1,7,7,7,6.5,0
"pen-in-mouth",1,7,2,4,6.27777777777778,-0.5
"pen-in-mouth",6,7,7,7,4.44444444444444,0.25
"pen-in-mouth",1,7,2,6,4.5,-0.5
"voluntary facial action",2.5,7,3,6,3.72222222222222,1.5
"pen-in-mouth",2,7,2,6,4.22222222222222,-0.5
"voluntary facial action",1,7,1,1,4.5,0
"facial mimicry",1,7,3,4,3.44444444444444,0
"facial mimicry",1.5,6,3,6,3.27777777777778,0.25
"pen-in-mouth",1,7,1,2,2.61111111111111,0
"voluntary facial action",7,7,5,6,4.27777777777778,1.25
"pen-in-mouth",1,7,2,6,6.11111111111111,3.25
"voluntary facial action",1.5,7,4,7,6.66666666666667,-3.25
"facial mimicry",2.5,7,1,6,4.16666666666667,0
"facial mimicry",1,7,3,7,5.44444444444444,0
"pen-in-mouth",1,7,2,4,4.83333333333333,1.5
"voluntary facial action",7,5,3,3,4.55555555555556,0.75
"facial mimicry",1,5,7,7,3.44444444444444,2
"facial mimicry",6.5,7,6,7,5.55555555555556,1.75
"voluntary facial action",1.5,7,1,1,4.44444444444444,-1
"pen-in-mouth",6.5,7,5,7,6,-0.25
